"CrossName","BrCrCode","Synonym","sexTestRes","Program","Subprogram","Concept","Funding","Contract","Breeder","Planted","nonPsa","PsaDeaths","Remaining","Percent_Remaining"
"T01/AS/b16/A06","T01/AS/b16/A06","T02.16-01-03h; Green14; G14; Hybrid 1; Hybrid1; N1; ZESH004; 16-31","","Green","Control(toDEL)","","","","Alan Seal","7","0","0","7","100"
"FN_202","FN_202","","","Green","Hybrid(toDEL)","","Commercial","NC1301","Alan Seal","216","2","25","189","87.5"
"JS_204","JS_204","","","Green","Hybrid(toDEL)","","Commercial","NC1301","Alan Seal","182","4","26","152","83.52"
"JS_309","JS_309","","","Green","Hybrid(toDEL)","","Commercial","NC1301","Alan Seal","262","4","48","210","80.15"
"JU_202","JU_202","","","Green","Hybrid(toDEL)","","Commercial","NC1301","Alan Seal","4","0","2","2","50"
"JY_202","JY_202","","","Green","Hybrid(toDEL)","","Commercial","NC1301","Alan Seal","15","0","4","11","73.33"
"JY_310","JY_310","","","Green","Hybrid(toDEL)","","Commercial","NC1301","Alan Seal","131","1","45","85","64.89"
"JY_321","JY_321","","","Green","Hybrid(toDEL)","","Commercial","NC1301","Alan Seal","220","3","39","178","80.91"
"JZ_202","JZ_202","","","Green","Hybrid(toDEL)","","Commercial","NC1301","Alan Seal","9","0","0","9","100"
"JZ_225","JZ_225","","","Green","Hybrid(toDEL)","","Commercial","NC1301","Alan Seal","203","0","31","172","84.73"
"JZ_309","JZ_309","","","Green","Hybrid(toDEL)","","Commercial","NC1301","Alan Seal","385","11","42","332","86.23"
"LJ_225","LJ_225","","","Green","Hybrid(toDEL)","","Commercial","NC1301","Alan Seal","13","0","1","12","92.31"
"LJ_310","LJ_310","","","Green","Hybrid(toDEL)","","Commercial","NC1301","Alan Seal","8","0","0","8","100"
"LJ_321","LJ_321","","","Green","Hybrid(toDEL)","","Commercial","NC1301","Alan Seal","3","0","1","2","66.67"
"pA_225","pA_225","","","Green","Hybrid(toDEL)","","Commercial","NC1301","Alan Seal","105","0","31","74","70.48"
"pA_309","pA_309","","","Green","Hybrid(toDEL)","","Commercial","NC1301","Alan Seal","253","5","35","213","84.19"
"pA_310","pA_310","","","Green","Hybrid(toDEL)","","Commercial","NC1301","Alan Seal","122","0","18","104","85.25"
"ZB_309","ZB_309","","","Green","Hybrid(toDEL)","","Commercial","NC1301","Alan Seal","266","2","11","253","95.11"
"Zi_204","Zi_204","","","Green","Hybrid(toDEL)","","Commercial","NC1301","Alan Seal","300","8","89","203","67.67"
"Zi_225","Zi_225","","","Green","Hybrid(toDEL)","","Commercial","NC1301","Alan Seal","256","4","79","173","67.58"
"Zi_309","Zi_309","","","Green","Hybrid(toDEL)","","Commercial","NC1301","Alan Seal","245","7","87","151","61.63"
"Zi_310","Zi_310","","","Green","Hybrid(toDEL)","","Commercial","NC1301","Alan Seal","266","3","60","203","76.32"
"","","","","Green","Hybrid(toDEL)","","Commercial","NC1301","Alan Seal","245","7","87","151","61.63"
"","","","","Green","Hybrid(toDEL)","","Commercial","NC1301","Alan Seal","266","3","60","203","76.32"
