"CrossName","BrCrCode","Synonym","sexTestRes","Program","Subprogram","Concept","Funding","Contract","Breeder","Planted","nonPsa","PsaDeaths","Remaining","Percent_Remaining"
"K13.0528","GT_321","","Male","Gold","Pollinizer(toDEL)","","","","Alan Seal","6","0","0","6","100"
"K13.0528","GT_321","","Negative","Gold","Pollinizer(toDEL)","","","","Alan Seal","3","0","0","3","100"
"K13.0552","rJZ_607","","Male","Gold","Pollinizer(toDEL)","","","","Alan Seal","3","0","0","3","100"
"K13.0552","rJZ_607","","Negative","Gold","Pollinizer(toDEL)","","","","Alan Seal","1","0","0","1","100"
"K13.0520","GT_601","","","Green","Green","","","NC1501","Alan Seal","35","0","28","7","20"
"K13.0512","GT_602","","","Green","Green","","","NC1501","Alan Seal","9","0","6","3","33.33"
"K13.0519","rKG_601","","","Green","Green","","","NC1501","Alan Seal","69","0","45","24","34.78"
"K13.0511","rKG_602","","","Green","Green","","","NC1501","Alan Seal","3","0","2","1","33.33"
"K13.0514","rPA_602","","","Green","Green","","","NC1501","Alan Seal","23","0","15","8","34.78"
"K13.1024","aAB_1062","","Female","Green","Hybrid(toDEL)","","Commercial","NC1501","Alan Seal","20","0","9","11","55"
"K13.1024","aAB_1062","","Male","Green","Hybrid(toDEL)","","Commercial","NC1501","Alan Seal","59","0","21","38","64.41"
"K13.1022","cBS_1062","","Female","Green","Hybrid(toDEL)","","Commercial","NC1501","Alan Seal","5","0","0","5","100"
"K13.1022","cBS_1062","","Male","Green","Hybrid(toDEL)","","Commercial","NC1501","Alan Seal","1","0","1","0","0"
"K13.1022","cBS_1062","","Negative","Green","Hybrid(toDEL)","","Commercial","NC1501","Alan Seal","2","0","1","1","50"
"K13.0520","GT_601","","Female","Green","Hybrid(toDEL)","","Commercial","NC1501","Alan Seal","65","1","44","20","30.77"
"K13.0520","GT_601","","Negative","Green","Hybrid(toDEL)","","Commercial","NC1501","Alan Seal","2","0","1","1","50"
"K13.0520","GT_601","","","Green","Hybrid(toDEL)","","Commercial","NC1501","Alan Seal","119","2","89","28","23.53"
"K13.0512","GT_602","","Female","Green","Hybrid(toDEL)","","Commercial","NC1501","Alan Seal","170","1","83","86","50.59"
"K13.0512","GT_602","","Negative","Green","Hybrid(toDEL)","","Commercial","NC1501","Alan Seal","2","0","1","1","50"
"K13.0512","GT_602","","","Green","Hybrid(toDEL)","","Commercial","NC1501","Alan Seal","62","1","37","24","38.71"
"K13.0519","rKG_601","","Female","Green","Hybrid(toDEL)","","Commercial","NC1501","Alan Seal","40","0","32","8","20"
"K13.0519","rKG_601","","Negative","Green","Hybrid(toDEL)","","Commercial","NC1501","Alan Seal","1","0","1","0","0"
"K13.0519","rKG_601","","","Green","Hybrid(toDEL)","","Commercial","NC1501","Alan Seal","206","3","151","52","25.24"
"K13.0511","rKG_602","","Female","Green","Hybrid(toDEL)","","Commercial","NC1501","Alan Seal","170","3","75","92","54.12"
"K13.0511","rKG_602","","","Green","Hybrid(toDEL)","","Commercial","NC1501","Alan Seal","53","0","28","25","47.17"
"K13.0513","rOZ_602","","Female","Green","Hybrid(toDEL)","","Commercial","NC1501","Alan Seal","44","0","21","23","52.27"
"K13.0513","rOZ_602","","","Green","Hybrid(toDEL)","","Commercial","NC1501","Alan Seal","36","1","16","19","52.78"
"K13.0514","rPA_602","","Female","Green","Hybrid(toDEL)","","Commercial","NC1501","Alan Seal","74","1","53","20","27.03"
"K13.0514","rPA_602","","","Green","Hybrid(toDEL)","","Commercial","NC1501","Alan Seal","19","0","15","4","21.05"
"K13.0520","GT_601","","Female","Green","Hybrid(toDEL)","","","NC1501","Alan Seal","1","0","1","0","0"
"K13.0512","GT_602","","Female","Green","Hybrid(toDEL)","","","NC1501","Alan Seal","6","0","4","2","33.33"
"K13.0514","rPA_602","","Female","Green","Hybrid(toDEL)","","","NC1501","Alan Seal","15","0","11","4","26.67"
"K14.0480","aLD_900","","","Hybrid","DACK","","","","Alan Seal","1","0","0","1","100"
"K13.0512","GT_602","","","Hybrid","DACK","","","","Alan Seal","1","0","0","1","100"
"K13.0511","rKG_602","","","Hybrid","DACK","","","","Alan Seal","3","0","0","3","100"
"K14.0484","rKG_602","","","Hybrid","DACK","","","","Alan Seal","61","0","27","34","55.74"
"K14.0483","rKG_902","","","Hybrid","DACK","","","","Alan Seal","9","0","7","2","22.22"
"K13.0514","rPA_602","","","Hybrid","DACK","","","","Alan Seal","2","0","1","1","50"
"K13.0519","rKG_601","","","Hybrid","Hybrid(toDEL)","","","","Alan Seal","2","0","1","1","50"
