"","rowFather","rowPlanted","rowPsaDeath","rowSurvival"
"1","131",130,14," 89.23"
"2","132",176,10," 94.32"
"3","148",70,7," 90.00"
"4","476",39,0,"100.00"
"5","502",143,8," 94.41"
"6","503",1047,57," 94.56"
"7","504",34,0,"100.00"
"8","505",444,29," 93.47"
"9","506",38,3," 92.11"
"10","507",595,73," 87.73"
"11","522",50,4," 92.00"
"12","523",7,0,"100.00"
"13","528",7,1," 85.71"
"14","529",523,21," 95.98"
"15","530",90,11," 87.78"
"16","531",40,4," 90.00"
"17","539",93,14," 84.95"
"18","541",92,60," 34.78"
"19","545",71,15," 78.87"
"20","702",1,0,"100.00"
"21","707",12,1," 91.67"
"22","711",26,0,"100.00"
"23","712",5,0,"100.00"
"24","714",75,0,"100.00"
"25","717",23,0,"100.00"
"26","718",29,0,"100.00"
"27","726",36,0,"100.00"
"28","727",1,0,"100.00"
"29","732",21,0,"100.00"
"30","735",41,0,"100.00"
"31","737",12,0,"100.00"
"32","738",65,0,"100.00"
"33","740",1,0,"100.00"
"34","742",29,0,"100.00"
"35","743",23,0,"100.00"
"36","760",21,0,"100.00"
"37","761",6,0,"100.00"
"38","NA",22,0,"100.00"
"39","T02",9,0,"100.00"
