"CrossName","BrCrCode","Synonym","sexTestRes","Program","Subprogram","Concept","Funding","Contract","Breeder","Planted","nonPsa","PsaDeaths","Remaining","Percent_Remaining"
"DH134","DH134","","","Hybrid","DACK","","Parental","PT1201","Elizabeth Popowski","3","0","1","2","66.67"
"DH135","DH135","","","Hybrid","DACK","","Parental","PT1201","Elizabeth Popowski","2","0","1","1","50"
"dA01","dA01","","","Red","2x Red","","Commercial","NC1201","Canhong Cheng","31","0","31","0","0"
"dA02","dA02","","","Red","2x Red","","Commercial","NC1201","Canhong Cheng","70","0","70","0","0"
"dA03","dA03","","","Red","2x Red","","Commercial","NC1201","Canhong Cheng","89","2","83","4","4.49"
"dB01","dB01","","","Red","2x Red","","Commercial","NC1201","Canhong Cheng","175","0","159","16","9.14"
"dB02","dB02","","","Red","2x Red","","Commercial","NC1201","Canhong Cheng","82","0","78","4","4.88"
"dB03","dB03","","","Red","2x Red","","Commercial","NC1201","Canhong Cheng","125","2","111","12","9.6"
"dC01","dC01","","","Red","2x Red","","Commercial","NC1201","Canhong Cheng","1","0","1","0","0"
"dG07","dG07","","","Red","2x Red","","Parental","PT1201","Canhong Cheng","10","0","8","2","20"
"dG08","dG08","","Female","Red","2x Red","","Parental","PT1201","Canhong Cheng","1","0","0","1","100"
"dG08","dG08","","Male","Red","2x Red","","Parental","PT1201","Canhong Cheng","4","0","2","2","50"
"dG08","dG08","","","Red","2x Red","","Parental","PT1201","Canhong Cheng","43","0","42","1","2.33"
"dG09","dG09","","","Red","2x Red","","Parental","PT1201","Canhong Cheng","10","0","9","1","10"
"dG12","dG12","","","Red","2x Red","","Parental","PT1201","Canhong Cheng","3","0","0","3","100"
"dH07","dH07","","","Red","2x Red","","Parental","PT1201","Canhong Cheng","12","1","11","0","0"
"dH08","dH08","","","Red","2x Red","","Parental","PT1201","Canhong Cheng","11","0","9","2","18.18"
"dH09","dH09","","","Red","2x Red","","Parental","PT1201","Canhong Cheng","1","0","1","0","0"
"dH10","dH10","","","Red","2x Red","","Parental","PT1201","Canhong Cheng","10","0","8","2","20"
"dH12","dH12","","","Red","2x Red","","Parental","PT1201","Canhong Cheng","10","0","8","2","20"
"dI07","dI07","","","Red","2x Red","","Parental","PT1201","Canhong Cheng","36","1","15","20","55.56"
"dI08","dI08","","","Red","2x Red","","Parental","PT1201","Canhong Cheng","39","0","28","11","28.21"
"dI09","dI09","","","Red","2x Red","","Parental","PT1201","Canhong Cheng","10","0","8","2","20"
"dI10","dI10","","","Red","2x Red","","Parental","PT1201","Canhong Cheng","10","0","5","5","50"
"dI12","dI12","","","Red","2x Red","","Parental","PT1201","Canhong Cheng","10","0","7","3","30"
"dJ07","dJ07","","","Red","2x Red","","Parental","PT1201","Canhong Cheng","70","0","34","36","51.43"
"dJ08","dJ08","","Female","Red","2x Red","","Parental","PT1201","Canhong Cheng","3","0","0","3","100"
"dJ08","dJ08","","Male","Red","2x Red","","Parental","PT1201","Canhong Cheng","12","0","1","11","91.67"
"dJ08","dJ08","","","Red","2x Red","","Parental","PT1201","Canhong Cheng","25","0","21","4","16"
"dJ09","dJ09","","","Red","2x Red","","Parental","PT1201","Canhong Cheng","32","0","22","10","31.25"
"dJ10","dJ10","","","Red","2x Red","","Parental","PT1201","Canhong Cheng","22","0","18","4","18.18"
"dJ12","dJ12","","","Red","2x Red","","Parental","PT1201","Canhong Cheng","30","0","19","11","36.67"
"dK09","dK09","","","Red","2x Red","","Parental","PT1201","Canhong Cheng","11","0","4","7","63.64"
"dK12","dK12","","","Red","2x Red","","Parental","PT1201","Canhong Cheng","27","0","21","6","22.22"
"Red19 OP","Red19 OP","","","Red","2x Red","","Parental","PT1301","","17","0","14","3","17.65"
