"","BrCrCode","Planted","nonPsa","PsaDeaths","survivalrate"
"1","dA_01",31,0,31,0
"2","dA_02",70,0,70,0
"3","dA_03",89,2,83,4.6
"4","dB_01",175,0,159,9.14
"5","dB_02",82,0,78,4.88
"6","dB_03",125,2,111,9.76
"7","dC_01",1,0,1,0
"8","dG_07",10,0,8,20
"9","dG_08",48,0,44,8.33
"10","dG_09",10,0,9,10
"11","dG_12",3,0,0,100
"12","dH_07",12,1,11,0
"13","dH_08",11,0,9,18.18
"14","dH_09",1,0,1,0
"15","dH_10",10,0,8,20
"16","dH_12",10,0,8,20
"17","DH_134",3,0,1,66.67
"18","DH_135",2,0,1,50
"19","dI_07",36,1,15,57.14
"20","dI_08",39,0,28,28.21
"21","dI_09",10,0,8,20
"22","dI_10",10,0,5,50
"23","dI_12",10,0,7,30
"24","dJ_07",70,0,34,51.43
"25","dJ_08",40,0,22,45
"26","dJ_09",32,0,22,31.25
"27","dJ_10",22,0,18,18.18
"28","dJ_12",30,0,19,36.67
"29","dK_09",11,0,4,63.64
"30","dK_12",27,0,21,22.22
"31","Red19OP",17,0,14,17.65
