CrossName,BrCrCode,Synonym,sexTestRes,Program,Subprogram,Concept,Funding,Contract,Breeder,Planted,nonPsa,PsaDeaths,Remaining,Percent_Remaining
K12.1067,MA_502,MA_502,,Green,Green,,Commercial,NC1399,Elizabeth Popowski,96,2,3,91,94.79
K12.1068,MA_502,MA_502,,Green,Green,,Commercial,NC1400,Elizabeth Popowski,96,2,3,91,94.79
K12.1069,MA_502,MA_502,,Green,Green,,Commercial,NC1401,Elizabeth Popowski,96,2,3,91,94.79
K12.1070,MA_502,MA_502,,Green,Green,,Commercial,NC1402,Elizabeth Popowski,96,2,3,91,94.79
K12.1071,MA_502,MA_502,,Green,Green,,Commercial,NC1403,Elizabeth Popowski,96,2,3,91,94.79
K12.1072,MA_502,MA_502,,Green,Green,,Commercial,NC1404,Elizabeth Popowski,96,2,3,91,94.79
K12.1073,MA_502,MA_502,,Green,Green,,Commercial,NC1405,Elizabeth Popowski,96,2,3,91,94.79
K12.1074,MA_502,MA_502,,Green,Green,,Commercial,NC1406,Elizabeth Popowski,96,2,3,91,94.79
K12.1075,MA_502,MA_502,,Green,Green,,Commercial,NC1407,Elizabeth Popowski,96,2,3,91,94.79
K12.1035,MF_529,MF_529,,Green,Green,,Commercial,NC1401,Elizabeth Popowski,7,0,0,7,100
K12.1036,MF_529,MF_529,,Green,Green,,Commercial,NC1402,Elizabeth Popowski,7,0,0,7,100
K12.1037,MF_529,MF_529,,Green,Green,,Commercial,NC1403,Elizabeth Popowski,7,0,0,7,100
K12.1038,MF_529,MF_529,,Green,Green,,Commercial,NC1404,Elizabeth Popowski,7,0,0,7,100
K12.1039,MF_529,MF_529,,Green,Green,,Commercial,NC1405,Elizabeth Popowski,7,0,0,7,100
K12.1040,MF_529,MF_529,,Green,Green,,Commercial,NC1406,Elizabeth Popowski,7,0,0,7,100
K12.1041,MF_529,MF_529,,Green,Green,,Commercial,NC1407,Elizabeth Popowski,7,0,0,7,100
K12.1042,MF_529,MF_529,,Green,Green,,Commercial,NC1408,Elizabeth Popowski,7,0,0,7,100
K12.1043,MF_529,MF_529,,Green,Green,,Commercial,NC1409,Elizabeth Popowski,7,0,0,7,100
K12.1044,MF_529,MF_529,,Green,Green,,Commercial,NC1410,Elizabeth Popowski,7,0,0,7,100
K12.0873,NG_505,NG_505,,Green,Green,,Commercial,NC1401,Elizabeth Popowski,154,8,17,129,83.77
K12.0874,NG_505,NG_505,,Green,Green,,Commercial,NC1402,Elizabeth Popowski,154,8,17,129,83.77
K12.0875,NG_505,NG_505,,Green,Green,,Commercial,NC1403,Elizabeth Popowski,154,8,17,129,83.77
K12.0876,NG_505,NG_505,,Green,Green,,Commercial,NC1404,Elizabeth Popowski,154,8,17,129,83.77
K12.0877,NG_505,NG_505,,Green,Green,,Commercial,NC1405,Elizabeth Popowski,154,8,17,129,83.77
K12.0878,NG_505,NG_505,,Green,Green,,Commercial,NC1406,Elizabeth Popowski,154,8,17,129,83.77
K12.0879,NG_505,NG_505,,Green,Green,,Commercial,NC1407,Elizabeth Popowski,154,8,17,129,83.77
K12.0880,NG_505,NG_505,,Green,Green,,Commercial,NC1408,Elizabeth Popowski,154,8,17,129,83.77
K12.0881,NG_505,NG_505,,Green,Green,,Commercial,NC1409,Elizabeth Popowski,154,8,17,129,83.77
K12.0882,NG_505,NG_505,,Green,Green,,Commercial,NC1410,Elizabeth Popowski,154,8,17,129,83.77
