"CrossName","BrCrCode","Synonym","sexTestRes","Program","Subprogram","Concept","Funding","Contract","Breeder","Planted","nonPsa","PsaDeaths","Remaining","Percent_Remaining"
"K14.0753","GL_287/1","","Female","Gold","2x Yellow","","","NC1601","Kirsten Hoeata","63","14","24","25","39.68"
"K14.0753","GL_287/1","","Male","Gold","2x Yellow","","","NC1601","Kirsten Hoeata","13","3","7","3","23.08"
"K14.0753","GL_287/1","","","Gold","2x Yellow","","","","Kirsten Hoeata","67","10","26","31","46.27"
"K13.0533","aCK_227","","Male","Gold","4x Yellow","","","","Alan Seal","17","0","5","12","70.59"
"K13.0536","aCK_406","","","Gold","4x Yellow","","","","Alan Seal","20","1","1","18","90"
"K13.0531","aCK_605","","Male","Gold","4x Yellow","","","","Alan Seal","28","0","4","24","85.71"
"K14.0253","cYF_248","","Female","Gold","4x Yellow","","","PT1601","Paul Datson","14","1","2","11","78.57"
"K14.0253","cYF_248","","","Gold","4x Yellow","","","","Paul Datson","17","2","4","11","64.71"
"K14.0252","cYF_376","","Female","Gold","4x Yellow","","","PT1601","Paul Datson","14","2","5","7","50"
"K14.0252","cYF_376","","Negative","Gold","4x Yellow","","","PT1601","Paul Datson","2","0","1","1","50"
"K14.0252","cYF_376","","","Gold","4x Yellow","","","","Paul Datson","17","5","0","12","70.59"
"K14.0257","cYG_219","","Female","Gold","4x Yellow","","","PT1601","Paul Datson","15","1","2","12","80"
"K14.0257","cYG_219","","Negative","Gold","4x Yellow","","","PT1601","Paul Datson","1","0","0","1","100"
"K14.0257","cYG_219","","","Gold","4x Yellow","","","","Paul Datson","18","1","6","11","61.11"
"K14.0256","cYG_248","","Female","Gold","4x Yellow","","","PT1601","Paul Datson","16","1","1","14","87.5"
"K14.0256","cYG_248","","Negative","Gold","4x Yellow","","","PT1601","Paul Datson","3","0","0","3","100"
"K14.0256","cYG_248","","Unknown","Gold","4x Yellow","","","PT1601","Paul Datson","2","0","1","1","50"
"K14.0256","cYG_248","","","Gold","4x Yellow","","","","Paul Datson","13","0","0","13","100"
"K14.0255","cYG_298","","Female","Gold","4x Yellow","","","PT1601","Paul Datson","14","2","5","7","50"
"K14.0255","cYG_298","","Negative","Gold","4x Yellow","","","PT1601","Paul Datson","1","1","0","0","0"
"K14.0255","cYG_298","","","Gold","4x Yellow","","","","Paul Datson","16","3","4","9","56.25"
"K14.0319","eJ_219","","","Gold","4x Yellow","","","","Paul Datson","32","0","11","21","65.62"
"K14.0318","eJ_248","","","Gold","4x Yellow","","","","Paul Datson","32","0","5","27","84.38"
"K14.0317","eJ_298","","","Gold","4x Yellow","","","","Paul Datson","28","3","9","16","57.14"
"K14.0316","eJ_376","","","Gold","4x Yellow","","","","Paul Datson","24","4","7","13","54.17"
