"","X01","X02","X03","X07","X08","X09","X10","X12","X13","X134","X135"
"dA","0 STS","0","4.6","","","","","","","",""
"dB","9.14","4.88","9.76","","","","","","","",""
"dC","0 STS","","","","","","","","","",""
"dG","","","","20 STS","8.33","10 STS","","100 STS","","",""
"dH","","","","0 STS","18.18 STS","0 STS","20 STS","20 STS","","",""
"DH","","","","","","","","","66.67 STS","",""
"dI","","","","57.14 STS","28.21 STS","20 STS","50 STS","30 STS","","",""
"dJ","","","","51.43","45","31.25 STS","18.18 STS","36.67 STS","","",""
"dK","","","","","","63.64 STS","","22.22 STS","","",""
"Red19OP","","","","","","","","","17.65 STS","",""
