"CrossName","BrCrCode","Synonym","sexTestRes","Program","Subprogram","Concept","Funding","Contract","Breeder","Planted","nonPsa","PsaDeaths","Remaining","Percent_Remaining"
"K12.0756","rJR_225","rJR_225","Female","Gold","4x Yellow","","Commercial","NC1401","Russell Lowe","18","0","11","7","38.89"
"K12.0756","rJR_225","rJR_225","Male","Gold","4x Yellow","","Commercial","NC1401","Russell Lowe","2","0","1","1","50"
"K12.0757","rJR_227","rJR_227","Female","Gold","4x Yellow","","Commercial","NC1401","Russell Lowe","116","1","87","28","24.14"
"K12.0757","rJR_227","rJR_227","Male","Gold","4x Yellow","","Commercial","NC1401","Russell Lowe","15","0","11","4","26.67"
"K12.0757","rJR_227","rJR_227","Unknown","Gold","4x Yellow","","Commercial","NC1401","Russell Lowe","1","0","1","0","0"
"K12.0757","rJR_227","rJR_227","","Gold","4x Yellow","","Commercial","NC1401","Russell Lowe","4","0","3","1","25"
"K12.0754","rJR_375","rJR_375","Female","Gold","4x Yellow","","Commercial","NC1401","Russell Lowe","105","0","83","22","20.95"
"K12.0754","rJR_375","rJR_375","Male","Gold","4x Yellow","","Commercial","NC1401","Russell Lowe","7","0","3","4","57.14"
"K12.0754","rJR_375","rJR_375","Unknown","Gold","4x Yellow","","Commercial","NC1401","Russell Lowe","7","0","4","3","42.86"
"K12.0755","rJR_376","rJR_376","Female","Gold","4x Yellow","","Commercial","NC1401","Russell Lowe","54","0","35","19","35.19"
"K12.0755","rJR_376","rJR_376","Male","Gold","4x Yellow","","Commercial","NC1401","Russell Lowe","8","0","5","3","37.5"
"K12.0755","rJR_376","rJR_376","Unknown","Gold","4x Yellow","","Commercial","NC1401","Russell Lowe","6","0","5","1","16.67"
"K12.0753","rJR_377","rJR_377","Female","Gold","4x Yellow","","Commercial","NC1401","Russell Lowe","127","0","107","20","15.75"
"K12.0753","rJR_377","rJR_377","Male","Gold","4x Yellow","","Commercial","NC1401","Russell Lowe","8","0","4","4","50"
"K12.0753","rJR_377","rJR_377","Unknown","Gold","4x Yellow","","Commercial","NC1401","Russell Lowe","1","0","1","0","0"
"K12.0753","rJR_377","rJR_377","","Gold","4x Yellow","","Commercial","NC1401","Russell Lowe","1","0","1","0","0"
"K12.0752","rJR_380","rJR_380","Female","Gold","4x Yellow","","Commercial","NC1401","Russell Lowe","81","0","35","46","56.79"
"K12.0752","rJR_380","rJR_380","Male","Gold","4x Yellow","","Commercial","NC1401","Russell Lowe","8","0","5","3","37.5"
"K12.0752","rJR_380","rJR_380","Unknown","Gold","4x Yellow","","Commercial","NC1401","Russell Lowe","2","0","1","1","50"
"K12.0522","rKG_225","rKG_225","Female","Gold","4x Yellow","","Commercial","NC1401","Russell Lowe","223","0","179","44","19.73"
"K12.0522","rKG_225","rKG_225","Male","Gold","4x Yellow","","Commercial","NC1401","Russell Lowe","21","0","18","3","14.29"
"K12.0522","rKG_225","rKG_225","Unknown","Gold","4x Yellow","","Commercial","NC1401","Russell Lowe","1","0","1","0","0"
"K12.0522","rKG_225","rKG_225","","Gold","4x Yellow","","Commercial","NC1401","Russell Lowe","47","0","39","8","17.02"
"K12.0510","rKG_227","rKG_227","Female","Gold","4x Yellow","","Commercial","NC1401","Russell Lowe","295","1","242","52","17.63"
"K12.0510","rKG_227","rKG_227","Male","Gold","4x Yellow","","Commercial","NC1401","Russell Lowe","18","0","13","5","27.78"
