"CrossName","BrCrCode","Synonym","sexTestRes","Program","Subprogram","Concept","Funding","Contract","Breeder","Planted","nonPsa","PsaDeaths","Remaining","Percent_Remaining"
"FF146","FF146","","","Green","Green","","Commercial","NC1201","Elizabeth Popowski","12","0","0","12","100"
"FF148","FF148","","","Green","Green","","Commercial","NC1201","Elizabeth Popowski","83","0","1","82","98.8"
"FF150","FF150","","","Green","Green","","Commercial","NC1201","Elizabeth Popowski","103","0","1","102","99.03"
"FF151","FF151","","","Green","Green","","Commercial","NC1201","Elizabeth Popowski","92","0","2","90","97.83"
"FG146","FG146","","","Green","Green","","Commercial","NC1201","Elizabeth Popowski","73","0","2","71","97.26"
"FG148","FG148","","","Green","Green","","Commercial","NC1201","Elizabeth Popowski","159","0","4","155","97.48"
"FG149","FG149","","","Green","Green","","Commercial","NC1201","Elizabeth Popowski","126","0","1","125","99.21"
"FG151","FG151","","","Green","Green","","Commercial","NC1201","Elizabeth Popowski","130","2","1","127","97.69"
"FH148","FH148","","","Green","Green","","Commercial","NC1201","Elizabeth Popowski","14","0","0","14","100"
"FH149","FH149","","","Green","Green","","Commercial","NC1201","Elizabeth Popowski","61","0","0","61","100"
"FH150","FH150","","","Green","Green","","Commercial","NC1201","Elizabeth Popowski","115","1","2","112","97.39"
"FI148","FI148","","","Green","Green","","Commercial","NC1201","Elizabeth Popowski","7","0","0","7","100"
"FL148","FL148","","","Green","Green","","Commercial","NC1201","Elizabeth Popowski","11","0","0","11","100"
"FM154","FM154","","","Green","Green","","Commercial","NC1201","Elizabeth Popowski","1","0","1","0","0"
"ZU146","ZU146","","","Green","Green","","Commercial","NC1201","Elizabeth Popowski","9","0","1","8","88.89"
"ZZ146","ZZ146","","","Green","Green","","Commercial","NC1201","Elizabeth Popowski","2","0","0","2","100"
"ZZ148","ZZ148","","","Green","Green","","Commercial","NC1201","Elizabeth Popowski","14","0","1","13","92.86"
"ZZ149","ZZ149","","","Green","Green","","Commercial","NC1201","Elizabeth Popowski","45","0","4","41","91.11"
"ZZ150","ZZ150","","","Green","Green","","Commercial","NC1201","Elizabeth Popowski","4","0","0","4","100"
"ZZ151","ZZ151","","","Green","Green","","Commercial","NC1201","Elizabeth Popowski","18","0","0","18","100"
