"","Planted","PsaDeaths","survivalrate","FatherBrCrCode"
"1",130,14,89.23,"131"
"2",176,10,94.32,"132"
"3",70,7,90,"148"
"4",39,0,100,"476"
"5",143,8,94.41,"502"
"6",1047,57,94.56,"503"
"7",34,0,100,"504"
"8",444,29,93.47,"505"
"9",38,3,92.11,"506"
"10",595,73,87.73,"507"
"11",50,4,92,"522"
"12",7,0,100,"523"
"13",7,1,85.71,"528"
"14",523,21,95.98,"529"
"15",90,11,87.78,"530"
"16",40,4,90,"531"
"17",93,14,84.95,"539"
"18",92,60,34.78,"541"
"19",71,15,78.87,"545"
"20",12,1,91.67,"61ph"
"21",12,1,91.67,"62ph"
"22",12,1,91.67,"63ph"
"23",12,1,91.67,"64ph"
"24",12,1,91.67,"65ph"
"25",1,0,100,"702"
"26",12,1,91.67,"707"
"27",26,0,100,"711"
"28",5,0,100,"712"
"29",75,0,100,"714"
"30",23,0,100,"717"
"31",29,0,100,"718"
"32",36,0,100,"726"
"33",1,0,100,"727"
"34",21,0,100,"732"
"35",41,0,100,"735"
"36",12,0,100,"737"
"37",65,0,100,"738"
"38",1,0,100,"740"
"39",29,0,100,"742"
"40",23,0,100,"743"
"41",21,0,100,"760"
"42",6,0,100,"761"
"43",22,0,100,"Hayward"
"44",9,0,100,"T02"
